"filename", "language", "TypeScript", "TypeScript JSX", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\proxo\Desktop\NotaSpace-REDUX\NotaSpace\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 1, 1, 2
"c:\Users\proxo\Desktop\NotaSpace-REDUX\NotaSpace\src\reducers\axiosBaseQuery.ts", "TypeScript", 47, 0, 0, 0, 1, 2, 50
"c:\Users\proxo\Desktop\NotaSpace-REDUX\NotaSpace\src\reducers\features\errorSlice.ts", "TypeScript", 21, 0, 0, 0, 5, 6, 32
"c:\Users\proxo\Desktop\NotaSpace-REDUX\NotaSpace\src\reducers\features\uiSlice.ts", "TypeScript", 23, 0, 0, 0, 1, 5, 29
"c:\Users\proxo\Desktop\NotaSpace-REDUX\NotaSpace\src\reducers\notebooksReducer.ts", "TypeScript", 55, 0, 0, 0, 5, 7, 67
"c:\Users\proxo\Desktop\NotaSpace-REDUX\NotaSpace\src\reducers\notesReducer.ts", "TypeScript", 132, 0, 0, 0, 0, 15, 147
"c:\Users\proxo\Desktop\NotaSpace-REDUX\NotaSpace\src\reducers\selectedNoteReducer.ts", "TypeScript", 21, 0, 0, 0, 0, 5, 26
"c:\Users\proxo\Desktop\NotaSpace-REDUX\NotaSpace\src\reducers\tagsReducer.ts", "TypeScript", 52, 0, 0, 0, 5, 7, 64
"c:\Users\proxo\Desktop\NotaSpace-REDUX\NotaSpace\src\reportWebVitals.ts", "TypeScript", 13, 0, 0, 0, 0, 3, 16
"c:\Users\proxo\Desktop\NotaSpace-REDUX\NotaSpace\src\services\notebooksApi.ts", "TypeScript", 42, 0, 0, 0, 5, 7, 54
"c:\Users\proxo\Desktop\NotaSpace-REDUX\NotaSpace\src\services\notesApi.ts", "TypeScript", 150, 0, 0, 0, 16, 18, 184
"c:\Users\proxo\Desktop\NotaSpace-REDUX\NotaSpace\src\services\tagsApi.ts", "TypeScript", 50, 0, 0, 0, 6, 9, 65
"c:\Users\proxo\Desktop\NotaSpace-REDUX\NotaSpace\src\setupTests.ts", "TypeScript", 1, 0, 0, 0, 4, 1, 6
"c:\Users\proxo\Desktop\NotaSpace-REDUX\NotaSpace\src\store\store.ts", "TypeScript", 20, 0, 0, 0, 2, 3, 25
"c:\Users\proxo\Desktop\NotaSpace-REDUX\NotaSpace\src\styles\global.ts", "TypeScript", 43, 0, 0, 0, 0, 3, 46
"c:\Users\proxo\Desktop\NotaSpace-REDUX\NotaSpace\src\styles\mixins.ts", "TypeScript", 54, 0, 0, 0, 0, 6, 60
"c:\Users\proxo\Desktop\NotaSpace-REDUX\NotaSpace\src\types\index.ts", "TypeScript", 22, 0, 0, 0, 0, 3, 25
"c:\Users\proxo\Desktop\NotaSpace-REDUX\NotaSpace\src\utils\errors.ts", "TypeScript", 6, 0, 0, 0, 0, 1, 7
"c:\Users\proxo\Desktop\NotaSpace-REDUX\NotaSpace\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 1, 1, 2
"Total", "-", 843, 3302, 1, 13, 234, 557, 4950
